,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,log_koi_period,log_koi_period_err1,log_koi_time0bk,log_koi_time0bk_err1,log_koi_impact,log_koi_impact_err1,log_koi_duration,log_koi_duration_err1,log_koi_depth,log_koi_depth_err1,log_koi_prad,log_koi_prad_err1,log_koi_teq,log_koi_insol,log_koi_insol_err1,log_koi_model_snr,log_koi_tce_plnt_num,log_koi_steff,log_koi_steff_err1,log_koi_slogg,log_koi_slogg_err1,log_koi_srad,log_koi_srad_err1,log_koi_srad_err2,log_ra,log_dec,log_koi_kepmag
0,CONFIRMED,0,0,0,0,3.9967020140601237,-8.30248511892313,5.0907631673738685,-5.649294289372131,-0.5327304591540407,-2.8134107167600364,1.5056317437085112,-2.145581344184381,6.773995288802613,3.5695608650987154,1.0402767116551463,-1.1363141558521213,6.093569770045136,2.209372711271867,1.054660401138927,3.250374491927572,0.6931471805599453,8.604287898267172,4.394461500275244,1.4967170423699816,-2.7333680090865,-0.07580171341628185,-2.24431618487007,-2.8134107167600364,5.676528537171977,3.8741477275707434,2.730920015192958
1,FALSE POSITIVE,0,1,0,0,2.9906765122035317,-11.11414934501286,5.169632791958487,-7.450759801112363,-0.03045920748470846,1.6345206928015636,0.5778485561964825,-3.349554148510317,9.28998299962838,5.141669404438777,2.681021528714291,1.3663467233101945,6.45833828334479,3.6712245188752153,3.435308911290923,4.334672938290411,0.0,8.67470962929122,5.062601362120862,1.5138076814188501,-3.101092789211817,-0.14156356432178688,-1.4524341636244356,-2.563949857128453,5.693748367627241,3.8739914681249035,2.736702443675372
2,FALSE POSITIVE,0,1,0,0,0.5521321138273242,-15.151111804768647,5.137606008290957,-9.070578429601024,0.24451357705040216,-2.1541650878757723,0.8781360103498554,-5.0561558093980645,8.997048136712348,2.549523292873973,3.510350695558678,2.140183803635222,7.240649694255466,6.793421288525202,6.505710813798547,6.225745842832648,0.0,8.666474894131992,5.056252174754775,1.5181994319998293,-2.9187712324178627,-0.23445731121448327,-1.5994875815809322,-2.7181005369557116,5.654363247668236,3.8771253025861867,2.7470785880696886
3,CONFIRMED,0,0,0,0,0.9264754023963507,-12.491091600562472,5.145140254316679,-6.785537646257888,-0.353821874956326,-1.443923473956527,0.5034988483795299,-3.1465551632885744,6.402414585446716,2.827372791776091,1.0116009116784799,-0.12669765304595754,7.2485040723706105,6.831047005897473,6.773459022495241,3.711130063048756,0.0,8.704668113450987,5.1299046320653305,1.4902038245104021,-2.6450754019408214,0.044973365642731196,-1.0936247471570708,-2.0249533563957662,5.665578162126093,3.8759024418414607,2.741420500577316
4,CONFIRMED,0,0,0,0,1.4193507097120555,-11.464135300800796,5.153172338832191,-6.2659013928097425,-0.27049724769768,-1.9661128563728327,1.1442864921592841,-2.6838455124053926,6.530877627725885,2.928576998366583,1.0188473201992472,-0.10425002137379911,7.05617528410041,6.058305104026791,6.041042496131521,3.6938669956249757,0.6931471805599453,8.707152175339404,5.241752306050936,1.5009614360980168,-2.900422093749666,-0.028399474521698,-1.152013065395225,-2.2633643798407643,5.691325642819,3.8758707158445853,2.75455203475363
5,CONFIRMED,0,0,0,0,0.9425777683047681,-10.936312100666235,5.190478059000251,-5.37952742197358,-0.27971390280260405,-1.546463113272712,0.8874796500200356,-1.7957674906255938,5.422744944923089,2.8214384084472655,0.4637340162321402,-0.6520052372287701,7.215239978730097,6.694240224559883,6.676971364284405,2.70805020110221,1.0986122886681098,8.707152175339404,5.241752306050936,1.5009614360980168,-2.900422093749666,-0.028399474521698,-1.152013065395225,-2.2633643798407643,5.691325642819,3.8758707158445853,2.75455203475363
6,CONFIRMED,0,0,0,0,2.776869965873725,-11.426747768729175,5.156880159450213,-7.567467683455845,-2.9374633654300153,-1.3356012468043725,1.2626284301178248,-3.684887432844399,8.499904601278695,3.5055874265655356,1.7509374747078,-1.5095925774643841,6.396929655216146,3.4258899942525267,1.4953729561461278,5.0869788606835895,0.0,8.523374050491318,4.3175014467807555,1.5007384955107594,-2.4769384801388235,-0.164874643190234,-3.3813947543659757,-2.6450754019408214,5.65948040391129,3.8789994819659546,2.7626015157067134
9,CONFIRMED,0,0,0,0,1.2591705188005349,-15.434998806251876,4.796777024155987,-9.963237556941902,-0.4588658848352796,-4.8283137373023015,1.1626600644098546,-4.888860237170335,9.12103910245545,1.8872211527066338,2.6803363625346943,0.10526051065749294,7.327123292259293,7.14256649756402,5.727599907640632,7.462502089806056,0.0,8.736328721332908,4.718507799826663,1.4276761988986597,-2.8824035882469876,0.3722529739020507,-2.198225077669803,-2.2164073967529934,5.639379482111993,3.748352354129835,2.6073454969805776
10,CONFIRMED,0,0,0,0,1.310820022373888,-11.937573392495167,4.897714269684258,-6.550080834710321,-2.9565115604007097,-0.9263410677276565,0.9670598889257275,-3.1304071768805923,4.875960390769654,1.09894556645823,0.14842000511827322,-1.7660917224794772,7.095064377287131,6.215527675481575,5.288070041596487,3.92395157629342,0.6931471805599453,8.671286726753637,4.653969873921696,1.4831941858598499,-2.453407982728629,0.02176149178151271,-1.9379419794061363,-2.24431618487007,5.6891719589899425,3.8814722473610583,2.5472552748525357
11,FALSE POSITIVE,0,1,0,0,2.4442101734316775,-13.13241371325783,5.140725619701404,-8.940313234763122,0.9098701640712323,1.0480205025520497,1.2919562087438,-4.390058806371146,9.797237752693418,3.462637357261844,5.014029527164271,3.682886532377527,6.6240652277998935,4.3291531450668135,4.07568827762399,6.433100851520974,0.0,8.664750755773852,5.0434315685113384,1.5160059676415478,-3.3813947543659757,-0.164874643190234,-1.491654876777717,-2.6036901857779675,5.694001227174301,3.862778158906358,2.7390319387109385
12,FALSE POSITIVE,0,1,0,0,2.956023666279727,-13.70218187265727,5.217932153601265,-10.008848068193954,0.06391332574365265,-3.4420193761824103,1.5682887810770916,-5.698794933145162,11.215650864312943,3.0865322978804297,3.8977212207172864,2.7745243477075365,6.548219102762372,4.024815832903268,3.999136043916737,7.748028524432376,0.0,8.718827059242566,5.204012181567196,1.50318811259139,-2.9374633654300153,-0.05445618579605874,-1.1744140020843916,-2.353878387381596,5.689732703902988,3.8647290713479956,2.7305289828626362
13,FALSE POSITIVE,0,1,0,0,2.8015306922891674,-11.205440765222267,5.197843563658722,-7.3809640391768205,-1.2275826699650698,-2.1286317858706076,2.244722902149383,-2.796881414808826,9.257128533474942,3.686401386238396,2.0719132752590443,-0.11541085151132773,6.38856140554563,3.3881121421135,2.485822896572353,5.715052066914432,0.0,8.54714026778419,5.123969931766496,1.507848056672467,-2.419118909249997,-0.2407984865529306,-2.419118909249997,-2.441847160327553,5.69425193634448,3.864275019002782,2.759250157800601
14,CONFIRMED,0,0,0,0,2.227169683593535,-11.473704751816948,5.154782707669292,-7.0390035655920915,-0.9467499393588635,-5.298317366548036,1.1901273975038829,-3.4451492691913383,7.161078798797479,2.8214384084472655,0.9042181506398859,-1.6044503709230613,6.47543271670409,3.7340917969354845,2.525008384983772,4.468204330914934,0.0,8.487970332739334,4.875204956759802,1.522353805526987,-2.7181005369557116,-0.3624056186477175,-2.864704011147587,-2.703062659591171,5.6634403649727965,3.8654438242334823,2.72798353880966
15,CONFIRMED,0,0,0,0,1.7966314634335787,-12.10894593479945,5.145183430494937,-7.246029137549979,-1.3509272172825992,-1.6245515502441485,0.4587530784728812,-3.438899248846167,7.556271135396488,3.5380856337242768,1.0473189942805592,-1.3432348716594436,6.519147287940395,3.9128226855987105,2.797342308580972,4.180522258463153,0.0,8.420021279663963,4.8121924854206695,1.53643701954961,-3.863232841258714,-0.3974969384589874,-2.7646205525906042,-3.3524072174927233,5.647955691449559,3.8683484044253773,2.7589967687203143
16,FALSE POSITIVE,0,1,1,1,0.9919066657960952,-11.796615516152471,5.140128402147777,-6.057604349612527,-3.101092789211817,-1.018877320649256,1.2845107739524069,-2.6649907116417633,5.986200717432883,2.2513970562246124,0.4574248470388755,-2.0325579557809856,6.97166860472579,5.721425909828796,4.571003081815087,3.8753590210565547,0.0,8.514990767861038,5.003953017332334,1.504965890837389,-2.396895772465287,-0.19967119512906756,-2.6882475738060303,-2.5133061243096986,5.648148087133249,3.867115551773172,2.725824629201375
17,CONFIRMED,0,0,0,0,1.3714477460317367,-11.426747768729175,4.913291594758541,-6.061887011404528,-1.4828052615007343,-1.410587053688935,0.9548958709852217,-2.5942751868433653,5.895228939227156,2.6319607799949556,0.5306282510621704,-2.198225077669803,6.925595197110468,5.533982198415918,3.949530713764548,3.3638415951183864,0.6931471805599453,8.553525120663627,4.442663021126995,1.4906543764441336,-2.312635428847547,-0.09431067947124129,-2.8473122684357177,-2.4651040224918206,5.678041089796404,3.868718536282626,2.7354059311120653
18,FALSE POSITIVE,0,1,0,0,5.957398463276938,-8.89625982566987,5.11404638485949,-8.115066984573588,-0.02275698712261618,-2.9818293683849997,1.9177604963531767,-3.9424822129128545,10.123706832333092,3.824305924942915,3.7256934272366524,0.5193888544264784,5.6937321388027,0.6097655716208943,-1.3432348716594436,6.901737206656574,0.0,8.620291149419804,4.369460510614755,1.4063420564236688,-4.199705077879927,0.4574248470388755,-2.7333680090865,-2.7646205525906042,5.677690828875122,3.6289053800204374,2.517212484539916
19,CONFIRMED,0,0,0,0,3.0762514183287295,-9.56558776392373,5.144792807333019,-5.959965880048611,-0.10869941692334104,-4.509860006183766,1.239967164549312,-2.7090507014357934,6.753671263599422,3.299570627573857,1.0818051703517284,-2.111964733385396,6.272877006546167,2.925309809257445,1.0228105752518277,3.535145354171894,0.0,8.507950610049305,4.369460510614755,1.5040773967762742,-2.577021938695806,-0.18874212459687742,-3.4112477175156566,-2.7488721956224653,5.6714835002363095,3.8697245047422792,2.732872886533556
20,CONFIRMED,0,0,0,0,1.6087936409357828,-11.183621717827627,5.145993816502079,-6.123853735153728,-0.3410828491788962,-4.961845129926823,0.7755102709850684,-2.5613558219514063,6.840225622188537,3.681376376292786,1.0224509277025455,-0.6520052372287701,6.821107472256465,5.117694366389664,4.62557067374577,3.339321977944068,0.0,8.582793648500186,5.164791688192902,1.5155666968240298,-3.3524072174927233,-0.1660545843300827,-1.820158943749753,-2.6882475738060303,5.696449856601317,3.8700893724333945,2.763863265921423
21,CONFIRMED,0,0,0,0,1.454178125374742,-12.000685815805223,5.146893075077444,-6.767993336606978,-0.8556661100577202,-2.1803674602697964,1.0560526742493137,-3.1465551632885744,6.6211393047123535,2.646245716855093,0.8329091229351039,-0.5430045221302259,6.919683849847411,5.5129044151791256,5.205329986953352,4.123903364463645,0.0,8.638348312972704,5.023887099772003,1.5181994319998293,-3.4112477175156566,-0.18512548412668892,-1.5702171992808192,-2.6882475738060303,5.684483474518571,3.898209861710475,2.731506277138551
22,FALSE POSITIVE,0,0,1,0,0.40969222126335125,-14.570533142242306,5.141652234801143,-8.310179022031912,-0.14966077455440627,-3.1465551632885744,0.41574541751572086,-3.0098311979334924,7.701516729574675,2.9069557031631454,1.5107219394949427,0.010939940038334263,7.280697195384741,6.960461574613071,6.5555005514768965,5.199049364889368,0.0,8.65067458279072,5.0434315685113384,1.5179803019452653,-3.1941832122778293,-0.18512548412668892,-1.6766466621275502,-2.5383074265151158,5.689227800732093,3.8989582114658177,2.7424516278195425
24,FALSE POSITIVE,0,1,0,0,4.115067726478408,-8.765654550714737,5.158125326694217,-6.170591213005418,0.22234323114344054,1.933403696963128,2.032480952816333,-2.24431618487007,8.541554041662495,4.257044308704833,3.6856241613932634,2.548741798617256,6.22455842927536,2.7363136663750693,2.698067203048808,4.446174454497633,0.0,8.723231274827508,5.214941192376826,1.4820589831042699,-2.617295837833746,0.08709470685093373,-1.0469690555162714,-1.903808973036678,5.648008701758384,3.901558826377603,2.7245795030534206
25,CONFIRMED,0,0,0,0,3.718371628407733,-9.277549121669633,5.105969958449316,-6.371261908467568,-3.079113882493042,-1.0847093834991182,1.5324920711824532,-2.7441956477385636,7.70251094513018,3.8177343037373697,1.3506671834767394,-1.8904754421672127,6.0844994130751715,2.1701959049483,0.23980399220731693,3.9357395320454622,0.6931471805599453,8.523374050491318,4.3175014467807555,1.5007384955107594,-2.4769384801388235,-0.164874643190234,-3.3813947543659757,-2.6450754019408214,5.65948040391129,3.8789994819659546,2.7626015157067134
26,CONFIRMED,0,0,0,0,1.8330553113048222,-11.555832965981505,5.14342376081966,-6.750751530172472,-2.24431618487007,-1.1086626245216114,0.948525562007513,-3.1326981286271485,6.943990771564232,3.1987139330442482,0.9745596399981308,-2.2926347621408776,6.71295620067707,4.684905154006945,2.7556332878403675,3.8522730010223722,1.0986122886681098,8.523374050491318,4.3175014467807555,1.5007384955107594,-2.4769384801388235,-0.164874643190234,-3.3813947543659757,-2.6450754019408214,5.65948040391129,3.8789994819659546,2.7626015157067134
